;"France - Carbon Footprint";"Germany - Carbon Footprint";"Ivory Coast - Carbon Footprint";"India - Carbon Footprint";"China - Carbon Footprint";"United States of America - Carbon Footprint";"Denmark - Carbon Footprint"
"1990-01-01 00:00:00";487,312;1161,488;3,664;615,552;2286,336;5100,288;58,624
"1991-01-01 00:00:00";520,288;1150,496;3,664;652,192;2399,92;5059,984;65,952
"1992-01-01 00:00:00";501,968;1099,2;3,664;685,168;2480,528;5133,264;62,288
"1993-01-01 00:00:00";490,976;1106,528;7,328;707,152;2616,096;5261,504;62,288
"1994-01-01 00:00:00";490,976;1102,864;3,664;743,792;2722,352;5367,76;65,952
"1995-01-01 00:00:00";505,632;1117,52;7,328;776,768;2942,192;5433,712;65,952
"1996-01-01 00:00:00";516,624;1110,192;7,328;824,4;3066,768;5602,256;73,28
"1997-01-01 00:00:00";505,632;1077,216;7,328;872,032;2989,824;5697,52;65,952
"1998-01-01 00:00:00";531,28;1080,88;7,328;886,688;2854,256;5847,744;65,952
"1999-01-01 00:00:00";520,288;1058,896;3,664;956,304;2887,232;6034,608;65,952
"2000-01-01 00:00:00";523,952;1055,232;3,664;952,64;2960,512;6254,448;62,288
"2001-01-01 00:00:00";520,288;1058,896;3,664;967,296;3107,072;6166,512;62,288
"2002-01-01 00:00:00";523,952;1033,248;3,664;963,632;3359,888;6276,432;62,288
"2003-01-01 00:00:00";523,952;1062,56;7,328;1022,256;3817,888;6342,384;65,952
"2004-01-01 00:00:00";549,6;1062,56;7,328;1077,216;4327,184;6521,92;65,952
"2005-01-01 00:00:00";542,272;1040,576;7,328;1113,856;4821,824;6547,568;65,952
"2006-01-01 00:00:00";531,28;1066,224;7,328;1198,128;5166,24;6551,232;73,28
"2007-01-01 00:00:00";549,6;1014,928;7,328;1300,72;5565,616;6587,872;69,616
"2008-01-01 00:00:00";538,608;1003,936;7,328;1428,96;5990,64;6320,4;65,952
"2009-01-01 00:00:00";516,624;934,32;7,328;1634,144;6628,176;5825,76;62,288
"2010-01-01 00:00:00";512,96;978,288;7,328;1612,16;7232,736;6038,272;62,288
"2011-01-01 00:00:00";531,28;970,96;7,328;1685,44;7943,552;6001,632;58,624
"2012-01-01 00:00:00";479,984;923,328;10,992;1832;8192,704;5781,792;54,96
"2013-01-01 00:00:00";472,656;923,328;14,656;1799,024;8313,616;5891,712;54,96
"2014-01-01 00:00:00";450,672;890,352;14,656;1985,888;8317,28;5939,344;54,96
"2015-01-01 00:00:00";450,672;886,688;14,656;2106,8;8346,592;5803,776;51,296
"2016-01-01 00:00:00";450,672;890,352;14,656;2176,416;8467,504;5693,856;54,96
"2017-01-01 00:00:00";458;894,016;14,656;2260,688;8548,112;5686,528;51,296