;"World - Carbon Footprint"
"1990-01-01 00:00:00";21555,312
"1991-01-01 00:00:00";21580,96
"1992-01-01 00:00:00";21324,48
"1993-01-01 00:00:00";21610,272
"1994-01-01 00:00:00";21738,512
"1995-01-01 00:00:00";22189,184
"1996-01-01 00:00:00";22819,392
"1997-01-01 00:00:00";22954,96
"1998-01-01 00:00:00";22782,752
"1999-01-01 00:00:00";23119,84
"2000-01-01 00:00:00";23790,352
"2001-01-01 00:00:00";23962,56
"2002-01-01 00:00:00";24515,824
"2003-01-01 00:00:00";25637,008
"2004-01-01 00:00:00";26780,176
"2005-01-01 00:00:00";27685,184
"2006-01-01 00:00:00";28586,528
"2007-01-01 00:00:00";29465,888
"2008-01-01 00:00:00";30059,456
"2009-01-01 00:00:00";29601,456
"2010-01-01 00:00:00";31180,64
"2011-01-01 00:00:00";32246,864
"2012-01-01 00:00:00";32770,816
"2013-01-01 00:00:00";32880,736
"2014-01-01 00:00:00";33137,216
"2015-01-01 00:00:00";33071,264
"2016-01-01 00:00:00";33170,192
"2017-01-01 00:00:00";33565,904