;"France";"Germany";"Ivory Coast";"China";"India";"United States of America";"Denmark"
"1980-01-01 00:00:00";23,456087;52,5103801;0;14,66037;1,4805522;510,3772;0
"1981-01-01 00:00:00";24,285686;50,028695;0;13,063696;1,8579478;498,06516;0
"1982-01-01 00:00:00";23,482342;46,1201036;0;11,060596;2,5208557;462,97925;0
"1983-01-01 00:00:00";24,566784;47,4557571;0;12,512117;3,0023675;434,34262;0,057152878
"1984-01-01 00:00:00";26,017019;50,4884397;0;12,71533;3,2006369;463,9223;0,18638749
"1985-01-01 00:00:00";26,82049;49,7378382;0;13,266909;3,8237698;446,51587;0,74364322
"1986-01-01 00:00:00";27,108727;50,5589592;0;14,050731;5,2254782;418,46613;1,2394054
"1987-01-01 00:00:00";27,489374;54,2401003;0;14,341035;6,5899086;444,90973;1,5930672
"1988-01-01 00:00:00";26,547564;53,2690072;0;14,602308;8,9994345;465,30396;1,7610956
"1989-01-01 00:00:00";27,00239;56,1101057;0;14,66037;9,1445866;494,39023;1,9004215
"1990-01-01 00:00:00";27,434568;55,2914294;0;14,35179;11,583143;494,4321;2,0050673
"1991-01-01 00:00:00";31,071402;62,524342;0;14,843276;13,034665;505,26974;2,258472
"1992-01-01 00:00:00";31,431887;61,701118;0;15,002192;13,840332;522,43762;2,3761554
"1993-01-01 00:00:00";31,671392;63,879421;0;15,704042;15,439659;535,43622;2,6937335
"1994-01-01 00:00:00";31,515074;66,932655;0;16,545513;17,233627;548,02368;2,986259
"1995-01-01 00:00:00";32,157524;77,113342;0,03723437;17,04311;18,21805;571,80975;3,5211945
"1996-01-01 00:00:00";35,503262;77,217751;0,33572727;18,933395;18,16205;582,2392;4,088583
"1997-01-01 00:00:00";35,216236;73,990189;0,55954546;20,437262;18,696228;585,72156;4,6680093
"1998-01-01 00:00:00";36,061157;76,889549;0,74606055;21,239908;19,838264;575,8222;4,8161168
"1999-01-01 00:00:00";37,872257;77,645905;1,2496514;22,92956;19,617224;577,81476;5,0974216
"2000-01-01 00:00:00";39,7691;76,733879;1,2589772;23,783655;18,742277;600,88654;5,2064357
"2001-01-01 00:00:00";41,698338;80,233467;1,2589772;25,677822;18,4844;574,36774;5,148272
"2002-01-01 00:00:00";42,7421;80,051781;1,1947479;27,972231;24,019588;592,96948;5,1442766
"2003-01-01 00:00:00";41,953243;81,077591;1,1947479;30,137259;25,264786;575,8327;5,2080755
"2004-01-01 00:00:00";44,532413;81,632919;1,1590838;35,589851;28,50386;578,1637;5,1840096
"2005-01-01 00:00:00";47,449738;82,390633;1,1590838;43,607712;33,260674;569,14191;4,9794617
"2006-01-01 00:00:00";48,545349;84,106979;1,1590838;52,541477;35,898205;560,90375;5,0751152
"2007-01-01 00:00:00";45,158131;80,68943;1,3374045;65,630302;39,050251;596,82031;4,531805
"2008-01-01 00:00:00";47,343822;84,096069;1,4265647;71,837776;40,74239;601,36517;4,5695782
"2009-01-01 00:00:00";45,282455;78,179977;1,4265647;82,372505;50,522839;590,59503;4,3807588
"2010-01-01 00:00:00";46,076885;86,313828;1,4756029;99,325058;61,233208;619,82257;4,9403071
"2011-01-01 00:00:00";44,581394;78,261581;1,455096;121,86238;60,777447;629,40149;4,1796036
"2012-01-01 00:00:00";41,542973;78,352661;1,5870533;133,7328;56,609146;658,00421;3,8898156
"2013-01-01 00:00:00";43,379147;80,245186;1,8224365;151,81906;49,848709;676,07703;3,6875627
"2014-01-01 00:00:00";35,618629;72,596611;1,8384854;168,61153;48,749191;690,64771;3,1241043
"2015-01-01 00:00:00";37,541973;74,693207;1,8393769;177,59686;47,13599;711,03363;3,185025
"2016-01-01 00:00:00";41,110741;80,746735;2,0596011;192,75623;51,35458;716,31152;3,245815