;"World"
"1900-01-01 00:00:21";487,303701363971
"1901-01-01 00:00:21";498,787761006497
"1902-01-01 00:00:21";512,861382064751
"1903-01-01 00:00:21";559,129905142966
"1904-01-01 00:00:21";565,849518012288
"1905-01-01 00:00:21";607,301603176949
"1906-01-01 00:00:21";639,854561574799
"1907-01-01 00:00:21";711,139478791634
"1908-01-01 00:00:21";682,073581366606
"1909-01-01 00:00:21";713,574866336266
"1910-01-01 00:00:21";753,677643963191
"1911-01-01 00:00:21";769,623425787246
"1912-01-01 00:00:00";806,130533605976
"1913-01-01 00:00:00";865,158444527009
"1914-01-01 00:00:00";786,846360168783
"1915-01-01 00:00:00";780,6293913819
"1916-01-01 00:00:00";837,030546628974
"1917-01-01 00:00:00";876,202949743497
"1918-01-01 00:00:00";863,429576069984
"1919-01-01 00:00:00";753,999738321818
"1920-01-01 00:00:00";876,661605243927
"1921-01-01 00:00:00";762,001236691553
"1922-01-01 00:00:00";811,560136426805
"1923-01-01 00:00:00";948,026654540352
"1924-01-01 00:00:00";932,618639139374
"1925-01-01 00:00:00";947,152786308546
"1926-01-01 00:00:00";955,237127021086
"1927-01-01 00:00:00";1039,77443101054
"1928-01-01 00:00:00";1041,54341319344
"1929-01-01 00:00:00";1120,30852600019
"1930-01-01 00:00:00";1038,72695479928
"1931-01-01 00:00:00";946,024612278803
"1932-01-01 00:00:00";868,214722981903
"1933-01-01 00:00:00";918,444367020114
"1934-01-01 00:00:00";991,910335753105
"1935-01-01 00:00:00";1047,91476014245
"1936-01-01 00:00:00";1144,11276392833
"1937-01-01 00:00:00";1227,94678316479
"1938-01-01 00:00:00";1170,98730796548
"1939-01-01 00:00:00";1227,35640539507
"1940-01-01 00:00:00";1335,86889732332
"1941-01-01 00:00:00";1379,51833752273
"1942-01-01 00:00:00";1384,96374807537
"1943-01-01 00:00:00";1446,00559661221
"1944-01-01 00:00:00";1455,27560703566
"1945-01-01 00:00:00";1279,24701772209
"1946-01-01 00:00:00";1365,87894956552
"1947-01-01 00:00:00";1527,76032134429
"1948-01-01 00:00:00";1628,15559470101
"1949-01-01 00:00:00";1590,87912599964
"1950-01-01 00:00:00";1769,18098133967
"1951-01-01 00:00:00";1936,40721565248
"1952-01-01 00:00:00";1982,85923146617
"1953-01-01 00:00:00";2040,37319621861
"1954-01-01 00:00:00";2075,82252820095
"1955-01-01 00:00:00";2279,1817318128
"1956-01-01 00:00:00";2443,39873295868
"1957-01-01 00:00:00";2560,71936577457
"1958-01-01 00:00:00";2657,88925853459
"1959-01-01 00:00:00";2823,13806460169
"1960-01-01 00:00:00";2999,66585493883
"1961-01-01 00:00:00";3031,88082306233
"1962-01-01 00:00:00";3206,63692132296
"1963-01-01 00:00:00";3398,30182247477
"1964-01-01 00:00:00";3621,69202997328
"1965-01-01 00:00:00";3815,29609738953
"1966-01-01 00:00:00";4036,34300216265
"1967-01-01 00:00:00";4165,86837540808
"1968-01-01 00:00:00";4449,14373163876
"1969-01-01 00:00:00";4721,89107479684
"1970-01-01 00:00:00";5102,94126489187
"1971-01-01 00:00:00";5318,41415743131
"1972-01-01 00:00:00";5537,4986495832
"1973-01-01 00:00:00";5877,33623728746
"1974-01-01 00:00:00";5974,10804955111
"1975-01-01 00:00:00";5956,09839400858
"1976-01-01 00:00:00";6295,60507955169
"1977-01-01 00:00:00";6604,77519999558
"1978-01-01 00:00:00";6671,67343693077
"1979-01-01 00:00:00";7021,08780096804
"1980-01-01 00:00:00";7153,24203143423
"1981-01-01 00:00:00";7021,30757669694
"1982-01-01 00:00:00";6983,19433571256
"1983-01-01 00:00:00";7044,85479387013
"1984-01-01 00:00:00";7446,41136034455
"1985-01-01 00:00:00";7632,73834794291
"1986-01-01 00:00:00";7887,90585105894
"1987-01-01 00:00:00";8083,2471088166
"1988-01-01 00:00:00";8403,55181635888
"1989-01-01 00:00:00";8579,63674448265
"1990-01-01 00:00:00";8736,63963026431
"1991-01-01 00:00:00";8667,56165198945
"1992-01-01 00:00:00";8778,51513650623
"1993-01-01 00:00:00";8810,26526471401
"1994-01-01 00:00:00";8963,50071651433
"1995-01-01 00:00:00";9154,16436659016
"1996-01-01 00:00:00";9389,08698645263
"1997-01-01 00:00:00";9515,01481755208
"1998-01-01 00:00:00";9639,87414042605
"1999-01-01 00:00:00";9637,60673343803
"2000-01-01 00:00:00";9972,53287275128
"2001-01-01 00:00:00";10117,3727638362
"2002-01-01 00:00:00";10171,322392098
"2003-01-01 00:00:00";10575,4462896881
"2004-01-01 00:00:00";11143,3213090237
"2005-01-01 00:00:00";11550,0210438998
"2006-01-01 00:00:00";11866,2609962763
"2007-01-01 00:00:00";12079,3672275277
"2008-01-01 00:00:00";12410,2588079176
"2009-01-01 00:00:00";12384,9130071072
"2010-01-01 00:00:00";13038,1001206429
"2011-01-01 00:00:00";13443,3679133172
"2012-01-01 00:00:00";13812,575220956
"2013-01-01 00:00:00";13959,6153249497
"2014-01-01 00:00:00";14200,6019629801
"2015-01-01 00:00:00";14338,6668845501
"2016-01-01 00:00:00";14246,776306348